L	simulation	ksize	subst_rate	del_rate	ins_rate
10000	0	21	-0.007571420064950222	0.010095226753266979	0.01009522675326698
10000	0	31	-0.007808677613167123	0.010411570150889485	0.010411570150889483
10000	0	41	-0.007686736079674052	0.010248981439565414	0.010248981439565416
10000	1	21	-0.007571420064950241	0.010095226753266979	0.010095226753266977
10000	1	31	-0.007808677613167116	0.010411570150889485	0.010411570150889485
10000	1	41	-0.007686736079674067	0.010248981439565414	0.010248981439565413
10000	2	21	-0.006928224642435383	0.009237632856580502	0.0092376328565805
10000	2	31	-0.0067708250552315	0.009027766740308661	0.009027766740308661
10000	2	41	-0.006927443711965473	0.009236591615953964	0.009236591615953964
10000	3	21	-0.0071741552172298545	0.009565540289639808	0.009565540289639808
10000	3	31	-0.006970020693416204	0.009293360924554942	0.009293360924554942
10000	3	41	-0.006739216707140805	0.008985622276187738	0.008985622276187736
10000	4	21	-0.009343595920057218	0.012458127893409613	0.012458127893409613
10000	4	31	-0.00887283586022154	0.011830447813628726	0.011830447813628728
10000	4	41	-0.007678965136344879	0.010238620181793176	0.010238620181793178
10000	5	21	-0.008784803904357288	0.011713071872476388	0.011713071872476387
10000	5	31	-0.008692545325414915	0.011590060433886547	0.011590060433886547
10000	5	41	-0.008678708556696536	0.011571611408928706	0.011571611408928706
10000	6	21	-0.007611661640097652	0.010148882186796878	0.01014888218679688
10000	6	31	-0.007781261503700229	0.010375015338266966	0.010375015338266966
10000	6	41	-0.008558590685400476	0.011411454247200628	0.011411454247200628
10000	7	21	-0.0070176873266291195	0.009356916435505494	0.009356916435505494
10000	7	31	-0.007195358732285035	0.009593811643046712	0.009593811643046712
10000	7	41	-0.007505781640310004	0.01000770885374668	0.010007708853746682
10000	8	21	-0.009586994094771715	0.012782658793028952	0.01278265879302895
10000	8	31	-0.01018974071321974	0.013586320950959675	0.013586320950959676
10000	8	41	-0.010888350084915037	0.014517800113220044	0.014517800113220042
10000	9	21	-0.008982701728928602	0.011976935638571483	0.011976935638571485
10000	9	31	-0.008981998421573493	0.011975997895431332	0.011975997895431332
10000	9	41	-0.0083000149665391	0.011066686622052128	0.011066686622052128
10000	10	21	-0.006349264773542889	0.008465686364723854	0.008465686364723854
10000	10	31	-0.006293359442937839	0.008391145923917128	0.00839114592391713
10000	10	41	-0.006289932050698213	0.008386576067597608	0.008386576067597606
10000	11	21	-0.007847303437993803	0.010463071250658405	0.010463071250658405
10000	11	31	-0.008465011286681721	0.011286681715575621	0.011286681715575621
10000	11	41	-0.00876755485645809	0.011690073141944117	0.011690073141944117
10000	12	21	-0.007796885338717715	0.010395847118290278	0.010395847118290277
10000	12	31	-0.007342241864537507	0.00978965581938335	0.009789655819383352
10000	12	41	-0.007383966244725735	0.009845288326300983	0.009845288326300983
10000	13	21	-0.006192228304765332	0.008256304406353766	0.008256304406353764
10000	13	31	-0.006150475053186244	0.00820063340424833	0.00820063340424833
10000	13	41	-0.00579376080489666	0.007725014406528884	0.007725014406528884
10000	14	21	-0.008227526663280856	0.01097003555104114	0.01097003555104114
10000	14	31	-0.00788102641152453	0.010508035215366031	0.01050803521536603
10000	14	41	-0.008216826097620797	0.010955768130161067	0.010955768130161067
10000	15	21	-0.006916426512968297	0.009221902017291065	0.009221902017291065
10000	15	31	-0.006366694088367288	0.008488925451156397	0.008488925451156398
10000	15	41	-0.006097937343427737	0.008130583124570325	0.008130583124570327
10000	16	21	-0.0075132463017820615	0.010017661735709412	0.010017661735709412
10000	16	31	-0.007362408795272211	0.009816545060362948	0.009816545060362948
10000	16	41	-0.007275474098517082	0.0097006321313561	0.009700632131356099
10000	17	21	-0.008970349912122512	0.011960466549496701	0.011960466549496703
10000	17	31	-0.008840876689097912	0.011787835585463887	0.011787835585463887
10000	17	41	-0.00863867050607578	0.011518227341434375	0.011518227341434375
10000	18	21	-0.00804310702001679	0.010724142693355723	0.010724142693355723
10000	18	31	-0.008187416978625772	0.010916555971501027	0.010916555971501025
10000	18	41	-0.008626471278629162	0.011501961704838871	0.01150196170483887
10000	19	21	-0.00761585245519295	0.01015446994025727	0.01015446994025727
10000	19	31	-0.00773946711455828	0.010319289486077712	0.010319289486077712
10000	19	41	-0.0076505297751789944	0.010200706366905322	0.010200706366905322
33333	0	21	-0.007181541091698585	0.009575388122264784	0.009575388122264784
33333	0	31	-0.007342813552598161	0.009790418070130882	0.009790418070130882
33333	0	41	-0.007370088357092419	0.00982678447612323	0.00982678447612323
33333	1	21	-0.007181541091698581	0.009575388122264784	0.009575388122264786
33333	1	31	-0.007342813552598157	0.009790418070130882	0.009790418070130884
33333	1	41	-0.00737008835709243	0.009826784476123231	0.00982678447612323
33333	2	21	-0.006530401416765055	0.00870720188902007	0.00870720188902007
33333	2	31	-0.006410547851784495	0.008547397135712662	0.008547397135712662
33333	2	41	-0.0063664798565259174	0.008488639808701222	0.008488639808701222
33333	3	21	-0.007248460697064164	0.009664614262752207	0.009664614262752206
33333	3	31	-0.007260009633972358	0.009680012845296475	0.009680012845296475
33333	3	41	-0.007280405937785622	0.009707207917047496	0.009707207917047496
33333	4	21	-0.008006535299739471	0.010675380399652615	0.010675380399652613
33333	4	31	-0.00768981783390374	0.01025309044520499	0.01025309044520499
33333	4	41	-0.007224792558850662	0.009633056745134205	0.009633056745134204
33333	5	21	-0.007388984329564244	0.00985197910608566	0.00985197910608566
33333	5	31	-0.00748713063213011	0.009982840842840145	0.009982840842840145
33333	5	41	-0.007570245140755105	0.010093660187673477	0.010093660187673477
33333	6	21	-0.00786242304483852	0.010483230726451352	0.01048323072645135
33333	6	31	-0.007954705950984664	0.010606274601312889	0.010606274601312889
33333	6	41	-0.008383309214309645	0.011177745619079518	0.011177745619079516
33333	7	21	-0.0077051683250538095	0.010273557766738418	0.010273557766738418
33333	7	31	-0.00786983416573644	0.010493112220981916	0.010493112220981916
33333	7	41	-0.00800927877790332	0.010679038370537769	0.01067903837053777
33333	8	21	-0.00726239051875442	0.009683187358339227	0.009683187358339227
33333	8	31	-0.007222828875527891	0.009630438500703864	0.009630438500703864
33333	8	41	-0.0073764984273208024	0.00983533123642773	0.009835331236427729
33333	9	21	-0.007692394179150572	0.010256525572200768	0.01025652557220077
33333	9	31	-0.007778240828135073	0.010370987770846765	0.010370987770846765
33333	9	41	-0.00793695759812193	0.010582610130829243	0.010582610130829244
33333	10	21	-0.007400471172803507	0.00986729489707134	0.00986729489707134
33333	10	31	-0.007169213243852305	0.009558950991803076	0.009558950991803076
33333	10	41	-0.006980731859115222	0.009307642478820287	0.009307642478820285
33333	11	21	-0.008767864093292827	0.011690485457723766	0.011690485457723766
33333	11	31	-0.009226967768168528	0.012302623690891367	0.012302623690891367
33333	11	41	-0.00932513642329212	0.01243351523105616	0.01243351523105616
33333	12	21	-0.006750581106724139	0.009000774808965514	0.009000774808965514
33333	12	31	-0.006689395298761898	0.008919193731682517	0.008919193731682516
33333	12	41	-0.0067585983988730875	0.00901146453183078	0.009011464531830778
33333	13	21	-0.007550976694341194	0.010067968925788259	0.010067968925788259
33333	13	31	-0.0077692455149239465	0.01035899401989859	0.01035899401989859
33333	13	41	-0.007724323206743481	0.010299097608991293	0.010299097608991292
33333	14	21	-0.007602673461507047	0.01013689794867607	0.010136897948676072
33333	14	31	-0.007489332615536035	0.009985776820714705	0.009985776820714703
33333	14	41	-0.007565200883751171	0.010086934511668234	0.010086934511668234
