simulation	ksize	subst_rate	del_rate	ins_rate
1000000	0	15	0.040486974859938324	0.05411262381739683	0.053300623817396794
1000000	0	17	0.04197873896361868	0.05212360501248977	0.051311605012489735
1000000	0	19	0.042491201523155324	0.051440321599774186	0.05062832159977416
1000000	0	21	0.04232395762098644	0.051663313469332756	0.05085131346933273
1000000	0	23	0.04243918938909157	0.05150967111185916	0.05069767111185912
1000000	0	25	0.0423965944383404	0.05156646437952739	0.05075446437952735
1000000	0	27	0.04218142141277152	0.05185336174695263	0.0510413617469526
1000000	0	29	0.04231970830701659	0.05166897922129249	0.05085697922129245
1000000	0	31	0.0423037983396633	0.05169019251109688	0.05087819251109684
1000000	0	33	0.04258774942067811	0.051311591069743846	0.05049959106974382
1000000	0	35	0.04276056839528392	0.051081165770269436	0.05026916577026941
1000000	0	37	0.04252227784583951	0.05139888650286195	0.05058688650286192
1000000	0	39	0.042202221356427254	0.05182562848874499	0.05101362848874495
1000000	0	41	0.04180898147615519	0.05234994832910762	0.05153794832910758
1000000	0	43	0.0405646544175181	0.05400905107395714	0.053197051073957106
1000000	0	45	0.0394509178337128	0.05549403318569762	0.05468203318569759
1000000	0	47	0.03885546952692623	0.05628796426141295	0.05547596426141292
1000000	0	49	0.038205846756433834	0.05715412795540281	0.05634212795540277
1000000	0	51	0.03867541076608965	0.05652804260919502	0.05571604260919498
1000000	1	15	0.044504327941873194	0.05377793429406276	0.052965934294062725
1000000	1	17	0.04554812468970971	0.052386205296947395	0.05157420529694737
1000000	1	19	0.04674100315044187	0.05079570068263789	0.049983700682637855
1000000	1	21	0.04573418711294107	0.0521381220659723	0.051326122065972264
1000000	1	23	0.04580142738200278	0.05204846837388997	0.05123646837388993
1000000	1	25	0.045837092933405946	0.05200091430535243	0.0511889143053524
1000000	1	27	0.04574311240170129	0.05212622168095869	0.051314221680958665
1000000	1	29	0.0459648372700085	0.05183058852321569	0.051018588523215655
1000000	1	31	0.04632407788731036	0.05135160103347993	0.050539601033479896
1000000	1	33	0.04674893356508939	0.05078512679644112	0.04997312679644108
1000000	1	35	0.04683872825500406	0.05066540054322162	0.049853400543221585
1000000	1	37	0.04623415703076984	0.05147149550886722	0.05065949550886718
1000000	1	39	0.04570608461244361	0.052175592066635454	0.05136359206663541
1000000	1	41	0.045317262434235735	0.05269402163757935	0.051882021637579316
1000000	1	43	0.0444197159397841	0.05389075029684819	0.05307875029684815
1000000	1	45	0.044514336274352986	0.0537645898507564	0.05295258985075636
1000000	1	47	0.045353085815919375	0.05264625712866785	0.05183425712866782
1000000	1	49	0.04605466415797676	0.051710819339257995	0.05089881933925796
1000000	1	51	0.04764604672855733	0.0495889759118173	0.048776975911817275
1000000	2	15	0.05275398551578565	0.052577100771796594	0.05223010077179661
1000000	2	17	0.054300417936712	0.0505151908772281	0.0501681908772281
1000000	2	19	0.05373724870789467	0.05126608318231792	0.050919083182317935
1000000	2	21	0.05349452745347218	0.051589711521547996	0.05124271152154803
1000000	2	23	0.05312339849177786	0.0520845501371404	0.051737550137140424
1000000	2	25	0.052670284815578124	0.05268870170540669	0.0523417017054067
1000000	2	27	0.052159397352486495	0.05336988498952889	0.05302288498952891
1000000	2	29	0.051890759243821485	0.05372806913441548	0.05338106913441549
1000000	2	31	0.051879912781441356	0.053742531084255606	0.05339553108425561
1000000	2	33	0.05196658849724846	0.05362696346317952	0.05327996346317954
1000000	2	35	0.052016077485570585	0.053560978145416646	0.05321397814541666
1000000	2	37	0.05213774736704099	0.053398751636789525	0.053051751636789546
1000000	2	39	0.05168168473405192	0.05400683514744161	0.05365983514744163
1000000	2	41	0.05163246356775111	0.054072463369175934	0.05372546336917595
1000000	2	43	0.05249532158075215	0.05292198601850791	0.05257498601850792
1000000	2	45	0.05265072996672455	0.05271477483721138	0.052367774837211396
1000000	2	47	0.051900034500052976	0.053715702126106844	0.05336870212610686
1000000	2	49	0.052198026455677865	0.05331837951860699	0.052971379518607004
1000000	2	51	0.05161287626633637	0.05409857977106234	0.053751579771062354
1000000	3	15	0.052425708084304815	0.05418387912195968	0.05359687912195968
1000000	3	17	0.054531797527375164	0.05137575986453251	0.05078875986453249
1000000	3	19	0.053820658670188155	0.052323945007448545	0.051736945007448534
1000000	3	21	0.053714690333597034	0.05246523612290344	0.05187823612290344
1000000	3	23	0.053906523727021975	0.0522094582650035	0.0516224582650035
1000000	3	25	0.054201074197103336	0.05181672430489497	0.05122972430489496
1000000	3	27	0.054320678938127274	0.051657251316863086	0.051070251316863075
1000000	3	29	0.054355654196086074	0.051610617639584674	0.05102361763958468
1000000	3	31	0.05406123453402396	0.05200317718900079	0.05141617718900078
1000000	3	33	0.05388989259441288	0.052231633108482216	0.05164463310848221
1000000	3	35	0.0533477706136183	0.052954462416208374	0.05236746241620836
1000000	3	37	0.05256669842737322	0.0539958919978684	0.053408891997868385
1000000	3	39	0.052048134318752125	0.05468731080936327	0.054100310809363256
1000000	3	41	0.05152924842035002	0.055379158673899406	0.054792158673899395
1000000	3	43	0.051410200626918166	0.05553788906514196	0.05495088906514196
1000000	3	45	0.05270853695204114	0.05380677396497797	0.05321977396497797
1000000	3	47	0.054272539430422415	0.05172143732713623	0.05113443732713622
1000000	3	49	0.05536985702557539	0.05025834720026561	0.04967134720026561
1000000	3	51	0.056024603266777113	0.049385352211996615	0.048798352211996604
1000000	4	15	0.046895521165113085	0.05415792634404573	0.053635926344045695
1000000	4	17	0.04843505399185168	0.052105215908394335	0.05158321590839432
1000000	4	19	0.048671798533581105	0.05178955651942182	0.0512675565194218
1000000	4	21	0.04802372592288025	0.05265365333368958	0.052131653333689555
1000000	4	23	0.047924928714651795	0.052785382944660814	0.052263382944660784
1000000	4	25	0.04774804016804641	0.05302123434013473	0.05249923434013472
1000000	4	27	0.047775190904304085	0.05298503335845788	0.05246303335845787
1000000	4	29	0.047722573149915425	0.0530551903643093	0.05253319036430927
1000000	4	31	0.047656458758235286	0.05314334288654954	0.05262134288654952
1000000	4	33	0.04750037461442938	0.05335145507829073	0.052829455078290705
1000000	4	35	0.04677256800261533	0.05432186389404276	0.05379986389404274
1000000	4	37	0.04587806720629108	0.05551453162247505	0.05499253162247501
1000000	4	39	0.044672970723553744	0.05712132693279156	0.056599326932791544
1000000	4	41	0.04421725504065321	0.05772894784332562	0.0572069478433256
1000000	4	43	0.043722949158437545	0.05838802235294648	0.05786602235294645
1000000	4	45	0.04416918449388393	0.05779304190568475	0.057271041905684744
1000000	4	47	0.04447705115701559	0.05738255302150907	0.05686055302150904
1000000	4	49	0.04369782123562273	0.05842152625003298	0.057899526250032966
1000000	4	51	0.04261632088399464	0.05986352671887032	0.05934152671887029
1000000	5	15	0.048551825493747085	0.053673779764572424	0.05319477976457242
1000000	5	17	0.05058215022421278	0.05096668012395147	0.05048768012395146
1000000	5	19	0.05095079870884574	0.050475148811107526	0.04999614881110752
1000000	5	21	0.049884010752585556	0.05189753275278772	0.051418532752787696
1000000	5	23	0.049891585042227134	0.05188743369993241	0.05140843369993241
1000000	5	25	0.04996238877605337	0.051793028721497394	0.05131402872149739
1000000	5	27	0.050089748761507284	0.051623215407558834	0.051144215407558834
1000000	5	29	0.04991904800849622	0.05185081641157356	0.05137181641157356
1000000	5	31	0.049894175142252535	0.05188398023323178	0.05140498023323177
1000000	5	33	0.04979209158086802	0.05202009164841112	0.05154109164841111
1000000	5	35	0.04944000260192077	0.0524895436203408	0.052010543620340785
1000000	5	37	0.049205798305794406	0.05280181601517594	0.052322816015175924
1000000	5	39	0.04922301167094011	0.052778864861648386	0.05229986486164839
1000000	5	41	0.049026816124970736	0.05304045892294092	0.05256145892294092
1000000	5	43	0.04784337361669773	0.05461838226730485	0.05413938226730485
1000000	5	45	0.046140294726920474	0.056889154120341255	0.05641015412034125
1000000	5	47	0.04418045832564932	0.0595022693220361	0.0590232693220361
1000000	5	49	0.04097712727271336	0.06377337739261733	0.06329437739261733
1000000	5	51	0.03644908623295185	0.0698107654456328	0.06933176544563281
1000000	6	15	0.04513430524005556	0.05435724672562361	0.053571246725623654
1000000	6	17	0.0459992536685286	0.05320398215432626	0.05241798215432631
1000000	6	19	0.04619332504303173	0.05294522032165531	0.05215922032165535
1000000	6	21	0.04656054955487486	0.05245558763919789	0.05166958763919794
1000000	6	23	0.04696244051663266	0.05191973302352078	0.051133733023520825
1000000	6	25	0.0463946308138188	0.052676812627272626	0.05189081262727269
1000000	6	27	0.04688194362789174	0.0520270622085087	0.05124106220850875
1000000	6	29	0.04716872716299736	0.05164468416170111	0.05085868416170114
