fA	simulation	subst_rate	del_rate	ins_rate
0.15	0	0.05183032666741728	0.05002733977236913	0.049215339772369096
0.15	1	0.05355363532824423	0.049936414539963364	0.04912441453996333
0.15	2	0.048139926401637737	0.050588952683024976	0.05024195268302499
0.15	3	0.048037626823322035	0.05138490412942115	0.05079790412942114
0.15	4	0.05062412869184962	0.050973246167398886	0.05045124616739887
0.15	5	0.05149613120052639	0.050201443539860405	0.049722443539860404
0.15	6	0.051874049199304106	0.051121916421441815	0.05033591642144185
0.15	7	0.05003147163537701	0.05002550408636382	0.04963250408636384
0.15	8	0.04939648671798463	0.04914120553187183	0.04903620553187182
0.15	9	0.05253236953040837	0.05050029166544092	0.04989129166544094
0.16	0	0.05251631753026314	0.049991145514166675	0.04917914551416665
0.16	1	0.053745649530448546	0.04992628348430428	0.049114283484304244
0.16	2	0.047914568447611335	0.05060092988764696	0.05025392988764697
0.16	3	0.0478570816788974	0.05139464957230702	0.05080764957230702
0.16	4	0.051587711296379325	0.05092151014293512	0.050399510142935096
0.16	5	0.05116669103883492	0.05021887981210023	0.04973987981210023
0.16	6	0.052118191693365644	0.05110875252463486	0.050322752524634896
0.16	7	0.05072251802718435	0.0499891134659748	0.04959611346597482
0.16	8	0.04919027498965067	0.04915186559443584	0.04904686559443582
0.16	9	0.05286138350374761	0.05048275512795795	0.049873755127957976
0.17	0	0.05306989918003359	0.04996193743246599	0.04914993743246596
0.17	1	0.05369000955743067	0.0499292191612336	0.04911721916123357
0.17	2	0.04831776445602985	0.05057950104074223	0.05023250104074224
0.17	3	0.047559240771610944	0.051410726390990154	0.05082372639099015
0.17	4	0.05151796594115018	0.050925254863302016	0.050403254863301994
0.17	5	0.05134699634761149	0.05020933679696214	0.04973033679696214
0.17	6	0.05166394216828024	0.05113324516323026	0.05034724516323031
0.17	7	0.05125564474001975	0.04996103892270818	0.0495680389227082
0.17	8	0.049436110305720406	0.049139157200636344	0.04903415720063633
0.17	9	0.05373206619312601	0.050436347495287824	0.04982734749528785
0.18	0	0.05316445611755414	0.049956948418184884	0.04914494841818484
0.18	1	0.05406221576866124	0.04990958081261487	0.04909758081261484
0.18	2	0.04755338750540547	0.0506201257401699	0.05027312574016991
0.18	3	0.04702027979092313	0.0514398183583856	0.05085281835838559
0.18	4	0.05198237864187019	0.05090031993117187	0.05037831993117184
0.18	5	0.05099153178879268	0.050228150461900115	0.04974915046190012
0.18	6	0.05150558338609305	0.05114178369592282	0.05035578369592287
0.18	7	0.05209672947473749	0.04991674725769268	0.049523747257692693
0.18	8	0.04926281716192404	0.04914811554539056	0.049043115545390537
0.18	9	0.054475101197555505	0.05039674352019189	0.04978774352019191
0.19	0	0.05336301579712912	0.04994647200996958	0.049134472009969545
0.19	1	0.05406380288508077	0.04990949707315915	0.049097497073159115
0.19	2	0.04678642894444226	0.050660887645650125	0.05031388764565013
0.19	3	0.046481877530712756	0.05146888016723803	0.050881880167238026
0.19	4	0.052154755108565924	0.05089106481069126	0.05036906481069123
0.19	5	0.05053321571453458	0.050252407746748516	0.04977340774674851
0.19	6	0.05109509359041103	0.051163916857671	0.05037791685767104
0.19	7	0.05253737740980391	0.04989354266257386	0.049500542662573886
0.19	8	0.04939646020390197	0.049141206902510566	0.049036206902510544
0.19	9	0.05462661788425877	0.050388667638098794	0.04977966763809882
0.2	0	0.054050760863936814	0.049910185196436495	0.04909818519643646
0.2	1	0.05522816068034721	0.049848063213082536	0.0490360632130825
0.2	2	0.0460611672652992	0.05069943346744331	0.05035243346744332
0.2	3	0.04476575263561709	0.05156151293896653	0.05097451293896653
0.2	4	0.05315533638412396	0.050837342278645815	0.05031534227864579
0.2	5	0.04966819149656221	0.050298190864633024	0.04981919086463301
0.2	6	0.05075643363148402	0.05118217703302104	0.05039617703302109
0.2	7	0.05238864465428828	0.049901374954746364	0.04950837495474639
0.2	8	0.05026998520018426	0.049096050251204566	0.048991050251204545
0.2	9	0.05508560530431435	0.05036420347928412	0.049755203479284145
0.21	0	0.055205898930736824	0.04984923778778473	0.049037237787784696
0.21	1	0.05608896825825713	0.04980264527324549	0.04899064527324545
0.21	2	0.04527482057720273	0.050741225802787504	0.05039422580278751
0.21	3	0.043135729713102595	0.05164949810934955	0.051062498109349555
0.21	4	0.05472447075304739	0.050753093379053864	0.05023109337905384
0.21	5	0.049578653482441434	0.050302929841150056	0.04982392984115004
0.21	6	0.05115815165562884	0.05116051683562008	0.05037451683562013
0.21	7	0.05313007295586158	0.04986233121443009	0.04946933121443011
0.21	8	0.04893295698359861	0.049165167582957636	0.04906016758295762
0.21	9	0.055869561874857275	0.05032241837318415	0.04971341837318418
0.22	0	0.056729831996848834	0.04976883201291874	0.04895683201291871
0.22	1	0.058873122453472294	0.04965574769592354	0.04884374769592352
0.22	2	0.04148436410181423	0.050942678966544634	0.050595678966544655
0.22	3	0.0417896937854057	0.051722154265777934	0.05113515426577793
0.22	4	0.05517338076536812	0.050728990806767606	0.05020699080676758
0.22	5	0.04776920375016559	0.050398698547595114	0.049919698547595114
0.22	6	0.05309731083415138	0.051055959489237385	0.050269959489237424
0.22	7	0.0546517225992584	0.049782200885707714	0.04938920088570774
0.22	8	0.048609210088881534	0.04918190359589185	0.04907690359589182
0.22	9	0.05782001909418467	0.050218458453827136	0.04960945845382717
0.23	0	0.06192834069473034	0.0494945482341258	0.04868254823412575
0.23	1	0.059455876237031205	0.04962500043374708	0.048813000433747054
0.23	2	0.037159988247191224	0.05117250859335746	0.05082550859335748
0.23	3	0.03865600620340468	0.05189130405626318	0.05130430405626317
0.23	4	0.05725281243440189	0.05061734337021764	0.05009534337021762
0.23	5	0.04689050436105108	0.05044520545096387	0.04996620545096386
0.23	6	0.05409015365187064	0.05100242648815855	0.0502164264881586
0.23	7	0.05666427706439058	0.04967621942567681	0.04928321942567682
0.23	8	0.047994878059010905	0.04921366133307972	0.04910866133307971
0.23	9	0.06132334417979452	0.050031730239656416	0.049422730239656446
0.24	0	0.0756750400046938	0.04876924471886887	0.047957244718868836
0.24	1	0.06373848543378492	0.04939904135551031	0.04858704135551028
0.24	2	0.02571998216572014	0.0517805159490618	0.051433515949061814
0.24	3	0.027739002799121202	0.05248058068012564	0.051893580680125645
0.24	4	0.058698600962915695	0.05053971707193349	0.05001771707193347
0.24	5	0.04102391882134546	0.05075570609564343	0.05027670609564342
0.24	6	0.06290029837361631	0.05052739310072143	0.04974139310072147
0.24	7	0.06439370840739253	0.049269186258062016	0.04887618625806203
0.24	8	0.04838532462219348	0.04919347729784055	0.04908847729784052
0.24	9	0.07072113966154052	0.04953082509252742	0.048921825092527446
0.25	0	-0.5262338874382515	0.08052717082862784	0.07971517082862782
0.25	1	-0.3589480384228185	0.07170083283957364	0.0708888328395736
0.25	2	-0.5482126880774085	0.08228358410319762	0.08193658410319765
0.25	3	-0.5050831167802496	0.0812411854099722	0.08065418540997218
0.25	4	-0.6421400154984784	0.08816866931324199	0.08764666931324196
0.25	5	0.4001820206689945	0.03174655308648499	0.03126755308648498
0.25	6	0.1544028396732875	0.04559367594561039	0.04480767594561044
0.25	7	-0.2815605178909969	0.06748719458637821	0.06709419458637823
0.25	8	0.31402918562496324	0.03546108583344496	0.03535608583344494
0.25	9	-53.21409490017465	2.8896265337115916	2.8890175337115918
0.26	0	0.02277146578279393	0.05156054374182697	0.05074854374182693
0.26	1	0.03598504211195746	0.05086336886773107	0.05005136886773103
0.26	2	0.07380573531897555	0.04922487992810593	0.04887787992810599
0.26	3	0.07595773780112332	0.04987783592346921	0.04929083592346922
0.26	4	0.033305997735393146	0.051903079523271264	0.05138107952327124
0.26	5	0.06348481685726823	0.04956691863604971	0.0490879186360497
0.26	6	0.03669659491724623	0.051940268190679185	0.05115426819067921
0.26	7	0.03623381957098954	0.05075209078804907	0.05035909078804909
0.26	8	0.049598832055111106	0.04913074534141261	0.04902574534141259
0.26	9	0.024530716860337195	0.05199278764258802	0.05138378764258805
0.27	0	0.036854061323180975	0.05081751766559781	0.05000551766559778
0.27	1	0.040938998804961414	0.05060198814477729	0.04978998814477726
0.27	2	0.062154171286669	0.049844131053205974	0.04949713105320599
0.27	3	0.06309445635948575	0.05057216849615549	0.049985168496155495
0.27	4	0.04288829309889554	0.05138859341173831	0.050866593411738305
0.27	5	0.05484337484097104	0.05002428404883732	0.04954528404883732
0.27	6	0.04445005937604529	0.05152220984969125	0.05073620984969129
0.27	7	0.04523374433348269	0.05027815322112973	0.04988515322112976
0.27	8	0.0494543734352511	0.049138213092825477	0.04903321309282544
0.27	9	0.03786860834511007	0.05128187426832405	0.050672874268324064
0.28	0	0.041336321208136406	0.05058102461533541	0.049769024615335375
0.28	1	0.04408635808571227	0.050435927136339403	0.049623927136339355
0.28	2	0.058102435277606876	0.050059470562585424	0.04971247056258543
0.28	3	0.059001219385983274	0.05079311272188215	0.050206112721882135
0.28	4	0.04693419517306295	0.05117136357829884	0.05064936357829882
0.28	5	0.05292212301808095	0.05012597010208953	0.049646970102089516
0.28	6	0.047304150238482646	0.051368320385527216	0.05058232038552726
0.28	7	0.049102181493634336	0.05007444066309778	0.04968144066309779
0.28	8	0.04924859157756779	0.04914885093333611	0.049043850933336096
0.28	9	0.04146548602923925	0.05109015967429258	0.05048115967429262
0.29	0	0.041348966337340136	0.05058035743287542	0.04976835743287539
0.29	1	0.04714270978382858	0.050274667871077185	0.04946266787107714
0.29	2	0.055634845886689765	0.050190616690467774	0.04984361669046779
0.29	3	0.05662810601366936	0.05092120833423044	0.05033420833423044
0.29	4	0.0483872996007622	0.05109334447971148	0.05057134447971144
0.29	5	0.052297821584933325	0.05015901249040123	0.04968001249040121
0.29	6	0.04736699074354174	0.05136493209408261	0.05057893209408265
0.29	7	0.04905880150481679	0.05007672506067839	0.04968372506067841
0.29	8	0.0483487624778192	0.049195367368544345	0.04909036736854432
0.29	9	0.04517171903758798	0.05089261641066791	0.05028361641066793
0.3	0	0.04320981108306486	0.05048217551989481	0.04967017551989478
0.3	1	0.04713132733857685	0.050275268431791226	0.04946326843179119
0.3	2	0.05449855535331805	0.05025100765508676	0.04990400765508679
0.3	3	0.05479864850628632	0.05101995855931763	0.05043295855931761
0.3	4	0.0492278033831539	0.05104821671999135	0.05052621671999133
0.3	5	0.0511420211823863	0.05022018551305347	0.04974118551305346
0.3	6	0.04737902799010874	0.05136428305888595	0.05057828305888598
0.3	7	0.04959447832393408	0.05004851622838176	0.04965551622838178
0.3	8	0.0488996444474462	0.04916688966599539	0.04906188966599536
0.3	9	0.04632594096769535	0.05083109605657605	0.050222096056576064
0.31	0	0.04443682386164435	0.050417435856830825	0.0496054358568308
0.31	1	0.0471909804102327	0.050272121015703025	0.04946012101570299
0.31	2	0.05320699125540392	0.0503196510164891	0.04997265101648911
0.31	3	0.0536293302440604	0.05108307587203321	0.0504960758720332
0.31	4	0.048844946758904786	0.05106877279851037	0.05054677279851034
0.31	5	0.051189460161063786	0.050217674711265516	0.0497386747112655
0.31	6	0.04773792757812167	0.05134493158482641	0.05055893158482645
0.31	7	0.04939737706061321	0.05005889561439222	0.04966589561439224
0.31	8	0.04928203939241216	0.04914712185710097	0.04904212185710095
0.31	9	0.04686523626764629	0.05080235146513515	0.05019335146513518
0.32	0	0.04544542991918005	0.05036421977182417	0.04955221977182413
0.32	1	0.04768442504448721	0.05024608588394233	0.0494340858839423
0.32	2	0.052233580974280755	0.05037138530813425	0.050024385308134266
0.32	3	0.05285137636030894	0.051125068168010504	0.0505380681680105
0.32	4	0.04871018882068416	0.05107600813044319	0.050554008130443175
0.32	5	0.0513021812751789	0.05021170872332161	0.0497327087233216
0.32	6	0.04900444150966824	0.0512766425359923	0.05049064253599236
0.32	7	0.0506468161086285	0.04999309994186635	0.049600099941866385
0.32	8	0.04874255133526257	0.049175010554258054	0.049070010554258026
0.32	9	0.047027299002006855	0.05079371347573043	0.05018471347573047
0.33	0	0.0466792135159906	0.050299122866766785	0.04948712286676674
0.33	1	0.04857054494249761	0.050199332415166005	0.04938733241516596
0.33	2	0.051433637213459886	0.05041390029346426	0.05006690029346427
0.33	3	0.052247489182184435	0.051157664713448917	0.05057066471344891
0.33	4	0.04887891510549876	0.05106694899305547	0.05054494899305545
0.33	5	0.05082988731765189	0.05023670581529238	0.049757705815292375
0.33	6	0.04879861440720994	0.051287740508703904	0.05050174050870395
0.33	7	0.05043396287030141	0.05000430882955663	0.049611308829556645
0.33	8	0.04968109846159688	0.049126492600566396	0.04902149260056638
0.33	9	0.047849658860775086	0.05074988146354742	0.050140881463547456
0.34	0	0.047313998773391416	0.050265630319338145	0.0494536303193381
0.34	1	0.048511256145744974	0.050202460611377356	0.04939046061137732
0.34	2	0.05084693068454191	0.050445082259861954	0.05009808225986196
0.34	3	0.052326177012168115	0.051153417311751326	0.050566417311751315
0.34	4	0.048649170332450684	0.05107928429377901	0.050557284293778995
0.34	5	0.050461756079393134	0.05025618988929632	0.04977718988929631
