L	simulation	ksize	subst_rate	del_rate	ins_rate
10000	0	21	-0.04107870805895261	0.0547716107452702	0.054771610745270205
10000	0	31	-0.024293896899071674	0.0323918625320956	0.0323918625320956
10000	0	41	-0.03971119133574002	0.052948255114320095	0.0529482551143201
10000	1	21	-0.0410787080589527	0.05477161074527021	0.054771610745270205
10000	1	31	-0.024293896899071694	0.0323918625320956	0.0323918625320956
10000	1	41	-0.039711191335740074	0.0529482551143201	0.0529482551143201
10000	2	21	-0.03608989531734217	0.048119860423122905	0.048119860423122905
10000	2	31	-0.03385672227674192	0.04514229636898921	0.045142296368989206
10000	2	41	-0.06443914081145587	0.08591885441527446	0.08591885441527446
10000	3	21	-0.04323428134166564	0.05764570845555414	0.05764570845555413
10000	3	31	-0.07086614173228344	0.09448818897637794	0.09448818897637795
10000	3	41	-0.08875739644970432	0.11834319526627222	0.11834319526627218
10000	4	21	-0.037980756416748813	0.050641008555665126	0.050641008555665126
10000	4	31	-0.029846017362651283	0.03979468981686839	0.03979468981686839
10000	4	41	-0.016258064516129034	0.02167741935483871	0.02167741935483871
10000	5	21	-0.040590405904059025	0.05412054120541206	0.054120541205412064
10000	5	31	-0.031238124192445035	0.04165083225659345	0.041650832256593454
10000	5	41	-0.015921152388172856	0.02122820318423048	0.02122820318423048
10000	6	21	-0.04154124021673692	0.055388320288982544	0.05538832028898254
10000	6	31	-0.039290751561555474	0.052387668748740686	0.05238766874874069
10000	6	41	-0.04907306434023997	0.06543075245365323	0.06543075245365322
10000	7	21	-0.04124505059392869	0.05499340079190496	0.05499340079190497
10000	7	31	-0.04860878310425748	0.06481171080567662	0.06481171080567662
10000	7	41	-0.02419354838709676	0.03225806451612903	0.03225806451612903
10000	8	21	-0.06536438767843716	0.08715251690458302	0.08715251690458303
10000	8	31	-0.10471698113207559	0.139622641509434	0.13962264150943396
10000	8	41	-2.999999999999999	3.999999999999999	3.999999999999999
10000	9	21	-0.025114040804050317	0.033485387738733774	0.033485387738733774
10000	9	31	-0.01644165218553669	0.02192220291404892	0.02192220291404892
10000	9	41	-0.0039499670836076394	0.005266622778143516	0.005266622778143515
10000	10	21	-0.05874305258657549	0.07832407011543395	0.07832407011543395
10000	10	31	-0.058102001291155676	0.07746933505487412	0.0774693350548741
10000	10	41	-0.05829596412556059	0.07772795216741407	0.07772795216741406
10000	11	21	-0.05544695219477509	0.07392926959303357	0.07392926959303359
10000	11	31	-0.044009779951100274	0.058679706601466985	0.05867970660146698
10000	11	41	-2.9999999999999845	3.9999999999999796	3.9999999999999796
10000	12	21	-0.04219913579111883	0.05626551438815849	0.056265514388158494
10000	12	31	-0.044117647058823525	0.058823529411764705	0.058823529411764705
10000	12	41	-0.034358047016274824	0.04581072935503315	0.04581072935503316
10000	13	21	-0.03927072207456724	0.05236096276608957	0.052360962766089564
10000	13	31	-0.04378851767758678	0.058384690236782354	0.058384690236782354
10000	13	41	-0.02146395156851953	0.028618602091359382	0.028618602091359382
10000	14	21	-0.04810369659145462	0.0641382621219395	0.0641382621219395
10000	14	31	-0.059288537549407196	0.0790513833992095	0.07905138339920949
10000	14	41	-0.08875739644970417	0.1183431952662722	0.11834319526627221
10000	15	21	-0.04640035606987862	0.06186714142650494	0.061867141426504964
10000	15	31	-0.07518427518427516	0.10024570024570026	0.10024570024570026
10000	15	41	-3.0000000000000036	4.0000000000000036	4.0000000000000036
10000	16	21	-0.039724741945573995	0.05296632259409864	0.052966322594098635
10000	16	31	-0.04073515292826775	0.0543135372376903	0.05431353723769029
10000	16	41	-0.05536159600997513	0.07381546134663343	0.07381546134663342
10000	17	21	-0.07272727272727268	0.09696969696969696	0.09696969696969697
10000	17	31	-0.09658536585365848	0.12878048780487805	0.12878048780487805
10000	17	41	-0.018181818181818195	0.024242424242424242	0.024242424242424242
10000	18	21	-0.0321626617375231	0.042883548983364134	0.042883548983364134
10000	18	31	-0.032535627856950765	0.043380837142601054	0.04338083714260106
10000	18	41	-0.18051575931232083	0.24068767908309455	0.24068767908309455
10000	19	21	-0.03738719381177482	0.04984959174903309	0.04984959174903309
10000	19	31	-0.038763267189663095	0.05168435625288417	0.05168435625288417
10000	19	41	-0.04859028194361122	0.0647870425914817	0.06478704259148171
33333	0	21	-0.04725878001749147	0.06301170668998872	0.06301170668998873
33333	0	31	-0.05066069428891375	0.06754759238521836	0.06754759238521836
33333	0	41	-0.07775377969762416	0.1036717062634989	0.10367170626349892
33333	1	21	-0.04725878001749158	0.06301170668998873	0.06301170668998873
33333	1	31	-0.05066069428891383	0.06754759238521837	0.06754759238521836
33333	1	41	-0.07775377969762422	0.10367170626349892	0.10367170626349892
33333	2	21	-0.04344074727088568	0.05792099636118092	0.05792099636118092
33333	2	31	-0.0507896399241946	0.06771951989892608	0.06771951989892608
33333	2	41	-0.08374760994263877	0.11166347992351817	0.11166347992351816
33333	3	21	-0.039561372126496526	0.05274849616866207	0.05274849616866207
33333	3	31	-0.047963589683743695	0.0639514529116583	0.0639514529116583
33333	3	41	-0.03864836325237596	0.05153115100316791	0.0515311510031679
33333	4	21	-0.0382865158928388	0.05104868785711841	0.05104868785711842
33333	4	31	-0.037757232329257366	0.05034297643900984	0.05034297643900985
33333	4	41	-0.025906735751295342	0.03454231433506045	0.03454231433506045
33333	5	21	-0.043655379071270546	0.05820717209502732	0.058207172095027314
33333	5	31	-0.038071995118975015	0.050762660158633316	0.05076266015863331
33333	5	41	-0.03126714207350521	0.041689522764673616	0.041689522764673616
33333	6	21	-0.0385697067095219	0.05142627561269587	0.05142627561269587
33333	6	31	-0.035189451108110295	0.04691926814414701	0.046919268144147
33333	6	41	-0.028916502148414822	0.038555336197886425	0.038555336197886425
33333	7	21	-0.041634886811294486	0.05551318241505933	0.05551318241505932
33333	7	31	-0.049637631614932315	0.06618350881990975	0.06618350881990975
